,Unnamed: 0,name,coordinates,category,location,rating,review_count,state
57778,57778,In-N-Out Burger,"{'latitude': 33.7142616, 'longitude': -116.2330799}","[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]","{'address1': '82043 Hwy 111', 'address2': '', 'address3': '', 'city': 'Indio', 'zip_code': '92201', 'country': 'US', 'state': 'CA', 'display_address': ['82043 Hwy 111', 'Indio, CA 92201']}",4.0,238,CA
57845,57845,Chick-fil-A,"{'latitude': 37.066726, 'longitude': -94.4773239}","[{'alias': 'hotdogs', 'title': 'Fast Food'}]","{'address1': '2127 S Range Line Rd', 'address2': None, 'address3': None, 'city': 'Joplin', 'zip_code': '64804', 'country': 'US', 'state': 'MO', 'display_address': ['2127 S Range Line Rd', 'Joplin, MO 64804']}",5.0,46,MO
57865,57865,Chick-fil-A,"{'latitude': 37.066726, 'longitude': -94.4773239}","[{'alias': 'hotdogs', 'title': 'Fast Food'}]","{'address1': '2127 S Range Line Rd', 'address2': None, 'address3': None, 'city': 'Joplin', 'zip_code': '64804', 'country': 'US', 'state': 'MO', 'display_address': ['2127 S Range Line Rd', 'Joplin, MO 64804']}",5.0,46,MO
57871,57871,Chick-fil-A,"{'latitude': 37.066726, 'longitude': -94.4773239}","[{'alias': 'hotdogs', 'title': 'Fast Food'}]","{'address1': '2127 S Range Line Rd', 'address2': None, 'address3': None, 'city': 'Joplin', 'zip_code': '64804', 'country': 'US', 'state': 'MO', 'display_address': ['2127 S Range Line Rd', 'Joplin, MO 64804']}",5.0,46,MO
57955,57955,Chick-fil-A,"{'latitude': 38.4445110973437, 'longitude': -90.3730346}","[{'alias': 'hotdogs', 'title': 'Fast Food'}]","{'address1': '1 Arnold Mall', 'address2': '', 'address3': '', 'city': 'Arnold', 'zip_code': '63010', 'country': 'US', 'state': 'MO', 'display_address': ['1 Arnold Mall', 'Arnold, MO 63010']}",3.5,43,MO
58038,58038,Chick-fil-A,"{'latitude': 34.6013903, 'longitude': -118.1447096}","[{'alias': 'hotdogs', 'title': 'Fast Food'}]","{'address1': '732 W Rancho Vista Blvd', 'address2': '', 'address3': '', 'city': 'Palmdale', 'zip_code': '93551', 'country': 'US', 'state': 'CA', 'display_address': ['732 W Rancho Vista Blvd', 'Palmdale, CA 93551']}",4.0,217,CA
58050,58050,Chick-fil-A,"{'latitude': 38.58097, 'longitude': -92.24368}","[{'alias': 'hotdogs', 'title': 'Fast Food'}]","{'address1': '3407 Missouri Blvd', 'address2': '', 'address3': '', 'city': 'Jefferson City', 'zip_code': '65109', 'country': 'US', 'state': 'MO', 'display_address': ['3407 Missouri Blvd', 'Jefferson City, MO 65109']}",4.0,27,MO
58086,58086,Chick-fil-A,"{'latitude': 38.58097, 'longitude': -92.24368}","[{'alias': 'hotdogs', 'title': 'Fast Food'}]","{'address1': '3407 Missouri Blvd', 'address2': '', 'address3': '', 'city': 'Jefferson City', 'zip_code': '65109', 'country': 'US', 'state': 'MO', 'display_address': ['3407 Missouri Blvd', 'Jefferson City, MO 65109']}",4.0,27,MO
58116,58116,Waffle House,"{'latitude': 38.8236056, 'longitude': -91.1378107}","[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'diners', 'title': 'Diners'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'address1': '1012 N Hwy 47', 'address2': '', 'address3': '', 'city': 'Warrenton', 'zip_code': '63383', 'country': 'US', 'state': 'MO', 'display_address': ['1012 N Hwy 47', 'Warrenton, MO 63383']}",3.0,9,MO
58123,58123,Domino's Pizza,"{'latitude': 38.81915, 'longitude': -91.128391}","[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'address1': '1331 North Service Rd E', 'address2': 'Green Acres Center Ste 5', 'address3': None, 'city': 'Warrenton', 'zip_code': '63383', 'country': 'US', 'state': 'MO', 'display_address': ['1331 North Service Rd E', 'Green Acres Center Ste 5', 'Warrenton, MO 63383']}",3.5,7,MO
