,Unnamed: 0,name,coordinates,category,location,rating,review_count,state
18,18,Taco Bell,"{'latitude': 44.9502684347719, 'longitude': -74.8443625335316}","[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'tacos', 'title': 'Tacos'}]","{'address1': '1602 State Highway 37', 'address2': '', 'address3': None, 'city': 'Massena', 'zip_code': '13662', 'country': 'US', 'state': 'NY', 'display_address': ['1602 State Highway 37', 'Massena, NY 13662']}",5.0,4,NY
33,33,McDonald's,"{'latitude': 39.52390750015, 'longitude': -83.4587439894676}","[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'address1': '1401 Leesburg Ave', 'address2': '', 'address3': '', 'city': 'Washington Court House', 'zip_code': '43160', 'country': 'US', 'state': 'OH', 'display_address': ['1401 Leesburg Ave', 'Washington Court House, OH 43160']}",3.5,8,OH
35,35,Wendy's,"{'latitude': 39.532787, 'longitude': -83.445862}","[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]","{'address1': '530 Clinton Avenue', 'address2': '', 'address3': '', 'city': 'Washington C.H.', 'zip_code': '43160', 'country': 'US', 'state': 'OH', 'display_address': ['530 Clinton Avenue', 'Washington C.H., OH 43160']}",2.5,5,OH
47,47,Frisch's Big Boy,"{'latitude': 38.6273398591699, 'longitude': -83.7915819883346}","[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'diners', 'title': 'Diners'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'address1': '408 Market Square Dr', 'address2': '', 'address3': '', 'city': 'Maysville', 'zip_code': '41056', 'country': 'US', 'state': 'KY', 'display_address': ['408 Market Square Dr', 'Maysville, KY 41056']}",3.5,15,KY
54,54,Lee's Famous Recipe Chicken,"{'latitude': 38.633732, 'longitude': -83.792804}","[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]","{'address1': 'Highway 68 S', 'address2': '', 'address3': '', 'city': 'Maysville', 'zip_code': '41056', 'country': 'US', 'state': 'KY', 'display_address': ['Highway 68 S', 'Maysville, KY 41056']}",5.0,3,KY
55,55,Gold Star Chili,"{'latitude': 38.6245022092101, 'longitude': -83.7878417910156}","[{'alias': 'hotdogs', 'title': 'Fast Food'}]","{'address1': '237 Wal-Mart Way', 'address2': '', 'address3': '', 'city': 'Maysville', 'zip_code': '41056', 'country': 'US', 'state': 'KY', 'display_address': ['237 Wal-Mart Way', 'Maysville, KY 41056']}",3.5,7,KY
56,56,Penn Station East Coast Subs,"{'latitude': 38.619614, 'longitude': -83.783053}","[{'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'address1': '183 Wal Mart Way', 'address2': None, 'address3': None, 'city': 'Maysville', 'zip_code': '41056', 'country': 'US', 'state': 'KY', 'display_address': ['183 Wal Mart Way', 'Maysville, KY 41056']}",5.0,4,KY
58,58,McDonald's,"{'latitude': 38.6431292285145, 'longitude': -83.7789069734026}","[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'address1': '902 US 68', 'address2': '', 'address3': '', 'city': 'Maysville', 'zip_code': '41056', 'country': 'US', 'state': 'KY', 'display_address': ['902 US 68', 'Maysville, KY 41056']}",4.0,6,KY
63,63,Taco Bell,"{'latitude': 44.9502684347719, 'longitude': -74.8443625335316}","[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'tacos', 'title': 'Tacos'}]","{'address1': '1602 State Highway 37', 'address2': '', 'address3': None, 'city': 'Massena', 'zip_code': '13662', 'country': 'US', 'state': 'NY', 'display_address': ['1602 State Highway 37', 'Massena, NY 13662']}",5.0,4,NY
65,65,McDonald's,"{'latitude': 44.9500428854628, 'longitude': -74.845713533623}","[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'address1': '6098 State Hwy 37', 'address2': '', 'address3': '', 'city': 'Massena', 'zip_code': '13662', 'country': 'US', 'state': 'NY', 'display_address': ['6098 State Hwy 37', 'Massena, NY 13662']}",3.5,6,NY
87,87,OMG! Rotisserie,"{'latitude': 39.35154, 'longitude': -82.09728}","[{'alias': 'soulfood', 'title': 'Soul Food'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]","{'address1': '139 Columbus Rd', 'address2': None, 'address3': '', 'city': 'Athens', 'zip_code': '45701', 'country': 'US', 'state': 'OH', 'display_address': ['139 Columbus Rd', 'Athens, OH 45701']}",4.0,36,OH
128,128,Skyline Chili,"{'latitude': 39.858973, 'longitude': -84.281486}","[{'alias': 'salad', 'title': 'Salad'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'address1': '1321 S Main St', 'address2': '', 'address3': '', 'city': 'Englewood', 'zip_code': '45322', 'country': 'US', 'state': 'OH', 'display_address': ['1321 S Main St', 'Englewood, OH 45322']}",3.5,38,OH
144,144,McDonald's,"{'latitude': 34.00598, 'longitude': -81.7704}","[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'burgers', 'title': 'Burgers'}]","{'address1': '401 N Jennings St', 'address2': '', 'address3': None, 'city': 'Saluda', 'zip_code': '29138', 'country': 'US', 'state': 'SC', 'display_address': ['401 N Jennings St', 'Saluda, SC 29138']}",2.5,4,SC
148,148,Burger King,"{'latitude': 34.0067155659199, 'longitude': -81.7731264978647}","[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]","{'address1': '107 Travis Ave', 'address2': '', 'address3': '', 'city': 'Saluda', 'zip_code': '29138', 'country': 'US', 'state': 'SC', 'display_address': ['107 Travis Ave', 'Saluda, SC 29138']}",1.0,2,SC
152,152,7-Eleven,"{'latitude': 34.0071, 'longitude': -81.77179}","[{'alias': 'convenience', 'title': 'Convenience Stores'}, {'alias': 'servicestations', 'title': 'Gas Stations'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'address1': '101 Travis Ave', 'address2': None, 'address3': None, 'city': 'Saluda', 'zip_code': '29138', 'country': 'US', 'state': 'SC', 'display_address': ['101 Travis Ave', 'Saluda, SC 29138']}",3.0,1,SC
154,154,Pizza Hut,"{'latitude': 34.0085483, 'longitude': -81.7717216908932}","[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]","{'address1': '414 N Main St', 'address2': '', 'address3': '', 'city': 'Saluda', 'zip_code': '29138', 'country': 'US', 'state': 'SC', 'display_address': ['414 N Main St', 'Saluda, SC 29138']}",1.0,1,SC
166,166,Waffle House,"{'latitude': 33.913233, 'longitude': -81.531686}","[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'diners', 'title': 'Diners'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]","{'address1': '130 W Church St', 'address2': None, 'address3': None, 'city': 'Batesburg', 'zip_code': '29006', 'country': 'US', 'state': 'SC', 'display_address': ['130 W Church St', 'Batesburg, SC 29006']}",3.0,5,SC
168,168,Taco Bell,"{'latitude': 33.915558, 'longitude': -81.525774}","[{'alias': 'tacos', 'title': 'Tacos'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]","{'address1': '175 East Church Street', 'address2': '', 'address3': None, 'city': 'Leesville', 'zip_code': '29070', 'country': 'US', 'state': 'SC', 'display_address': ['175 East Church Street', 'Leesville, SC 29070']}",4.0,2,SC
169,169,Sonic Drive-In,"{'latitude': 33.9128101397931, 'longitude': -81.5320522376163}","[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]","{'address1': '136 W Church St', 'address2': '', 'address3': '', 'city': 'Batesburg-leesville', 'zip_code': '29006', 'country': 'US', 'state': 'SC', 'display_address': ['136 W Church St', 'Batesburg-leesville, SC 29006']}",3.0,3,SC
171,171,Pizza Hut,"{'latitude': 33.9079406924346, 'longitude': -81.5359541773796}","[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]","{'address1': '254 W Columbia Ave', 'address2': '', 'address3': '', 'city': 'Batesburg-Leesville', 'zip_code': '29006', 'country': 'US', 'state': 'SC', 'display_address': ['254 W Columbia Ave', 'Batesburg-Leesville, SC 29006']}",2.5,6,SC
172,172,Subway,"{'latitude': 33.9095151913118, 'longitude': -81.5352756625009}","[{'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'address1': '241 W Columbia Ave', 'address2': None, 'address3': None, 'city': 'Batesburg', 'zip_code': '29006', 'country': 'US', 'state': 'SC', 'display_address': ['241 W Columbia Ave', 'Batesburg, SC 29006']}",2.5,2,SC
173,173,McDonald's,"{'latitude': 33.90888, 'longitude': -81.53169}","[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'address1': '210 W Columbia Ave', 'address2': '', 'address3': '', 'city': 'Batesburg', 'zip_code': '29006', 'country': 'US', 'state': 'SC', 'display_address': ['210 W Columbia Ave', 'Batesburg, SC 29006']}",2.0,5,SC
175,175,KFC,"{'latitude': 33.911416, 'longitude': -81.527263}","[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'chickenshop', 'title': 'Chicken Shop'}]","{'address1': '123 E Columbia Ave', 'address2': None, 'address3': None, 'city': 'Leesville', 'zip_code': '29070', 'country': 'US', 'state': 'SC', 'display_address': ['123 E Columbia Ave', 'Leesville, SC 29070']}",1.5,3,SC
185,185,Waffle House,"{'latitude': 36.060244, 'longitude': -90.51912}","[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'diners', 'title': 'Diners'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]","{'address1': '2523 W Kings Hwy', 'address2': '', 'address3': '', 'city': 'Paragould', 'zip_code': '72450', 'country': 'US', 'state': 'AR', 'display_address': ['2523 W Kings Hwy', 'Paragould, AR 72450']}",5.0,4,AR
203,203,Hardee's,"{'latitude': 34.3081, 'longitude': -92.39944}","[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}]","{'address1': '201 N Rock St', 'address2': '', 'address3': '', 'city': 'Sheridan', 'zip_code': '72150', 'country': 'US', 'state': 'AR', 'display_address': ['201 N Rock St', 'Sheridan, AR 72150']}",2.5,6,AR
208,208,Sonic Drive-In,"{'latitude': 34.3067529, 'longitude': -92.407797}","[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]","{'address1': '613 W Center St', 'address2': None, 'address3': None, 'city': 'Sheridan', 'zip_code': '72150', 'country': 'US', 'state': 'AR', 'display_address': ['613 W Center St', 'Sheridan, AR 72150']}",3.0,2,AR
209,209,Burger King,"{'latitude': 34.2898245627478, 'longitude': -92.3984589456183}","[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}]","{'address1': '1404 South Rock', 'address2': '', 'address3': '', 'city': 'Sheridan', 'zip_code': '72150', 'country': 'US', 'state': 'AR', 'display_address': ['1404 South Rock', 'Sheridan, AR 72150']}",3.0,2,AR
211,211,McDonald's,"{'latitude': 34.2913408543748, 'longitude': -92.3984152078629}","[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'address1': '1212 S Rock', 'address2': '', 'address3': '', 'city': 'Sheridan', 'zip_code': '72150', 'country': 'US', 'state': 'AR', 'display_address': ['1212 S Rock', 'Sheridan, AR 72150']}",2.0,8,AR
213,213,Baskin-Robbins,"{'latitude': 34.30702, 'longitude': -92.39879}","[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]","{'address1': '100 N Rock St', 'address2': '', 'address3': '', 'city': 'Sheridan', 'zip_code': '72150', 'country': 'US', 'state': 'AR', 'display_address': ['100 N Rock St', 'Sheridan, AR 72150']}",3.0,1,AR
225,225,McDonald's,"{'latitude': 33.6355767975062, 'longitude': -91.8021554499865}","[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]","{'address1': '369 Hwy 425 N', 'address2': None, 'address3': None, 'city': 'Monticello', 'zip_code': '71655', 'country': 'US', 'state': 'AR', 'display_address': ['369 Hwy 425 N', 'Monticello, AR 71655']}",2.5,9,AR
226,226,Popeyes Louisiana Kitchen,"{'latitude': 33.6374253683095, 'longitude': -91.801864}","[{'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]","{'address1': '431 Hwy 425 N', 'address2': '', 'address3': '', 'city': 'Monticello', 'zip_code': '71655', 'country': 'US', 'state': 'AR', 'display_address': ['431 Hwy 425 N', 'Monticello, AR 71655']}",2.5,5,AR
227,227,Burger King,"{'latitude': 33.62831, 'longitude': -91.80192}","[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]","{'address1': '119 U S 425 South', 'address2': '', 'address3': '', 'city': 'Monticello', 'zip_code': '71655', 'country': 'US', 'state': 'AR', 'display_address': ['119 U S 425 South', 'Monticello, AR 71655']}",2.0,4,AR
230,230,Taco Bell,"{'latitude': 33.64078, 'longitude': -91.80138}","[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'tacos', 'title': 'Tacos'}]","{'address1': '435 Highway 425 North', 'address2': '', 'address3': '', 'city': 'Monticello', 'zip_code': '71655', 'country': 'US', 'state': 'AR', 'display_address': ['435 Highway 425 North', 'Monticello, AR 71655']}",3.0,4,AR
286,286,Papa John's Pizza,"{'latitude': 37.9414863586426, 'longitude': -86.7615356445312}","[{'alias': 'pizza', 'title': 'Pizza'}]","{'address1': '44 14th St', 'address2': '', 'address3': '', 'city': 'Tell City', 'zip_code': '47586', 'country': 'US', 'state': 'IN', 'display_address': ['44 14th St', 'Tell City, IN 47586']}",5.0,1,IN
287,287,Wendy's,"{'latitude': 37.939925, 'longitude': -86.76056}","[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]","{'address1': '12 State Road 66', 'address2': '', 'address3': '', 'city': 'Tell City', 'zip_code': '47586', 'country': 'US', 'state': 'IN', 'display_address': ['12 State Road 66', 'Tell City, IN 47586']}",3.5,3,IN
291,291,McDonald's,"{'latitude': 37.9370032961575, 'longitude': -86.7591351270676}","[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'address1': '149 E Hwy 66', 'address2': '', 'address3': '', 'city': 'Tell City', 'zip_code': '47586', 'country': 'US', 'state': 'IN', 'display_address': ['149 E Hwy 66', 'Tell City, IN 47586']}",3.0,3,IN
293,293,Pizza Hut,"{'latitude': 37.9385462345312, 'longitude': -86.7586151466097}","[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]","{'address1': '124 State Road 66', 'address2': '', 'address3': '', 'city': 'Tell City', 'zip_code': '47586', 'country': 'US', 'state': 'IN', 'display_address': ['124 State Road 66', 'Tell City, IN 47586']}",2.5,3,IN
414,414,Taco Bell,"{'latitude': 37.78954, 'longitude': -86.48991}","[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'tacos', 'title': 'Tacos'}]","{'address1': '1012 Old Highway 60', 'address2': None, 'address3': None, 'city': 'Hardinsburg', 'zip_code': '40143', 'country': 'US', 'state': 'KY', 'display_address': ['1012 Old Highway 60', 'Hardinsburg, KY 40143']}",2.5,5,KY
416,416,Pizza Hut,"{'latitude': 37.7736776598613, 'longitude': -86.4452670514584}","[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]","{'address1': '500 Old Hwy 60 E', 'address2': '', 'address3': '', 'city': 'Hardinsburg', 'zip_code': '40143', 'country': 'US', 'state': 'KY', 'display_address': ['500 Old Hwy 60 E', 'Hardinsburg, KY 40143']}",4.5,4,KY
417,417,McDonald's,"{'latitude': 37.762754094121, 'longitude': -86.4414900782435}","[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'address1': '1116 Old Hwy 60', 'address2': '', 'address3': '', 'city': 'Hardinsburg', 'zip_code': '40143', 'country': 'US', 'state': 'KY', 'display_address': ['1116 Old Hwy 60', 'Hardinsburg, KY 40143']}",2.5,6,KY
420,420,China King,"{'latitude': 37.7735470398764, 'longitude': -86.444394091487}","[{'alias': 'chinese', 'title': 'Chinese'}]","{'address1': '522 Old Hwy 60', 'address2': '', 'address3': '', 'city': 'Hardinsburg', 'zip_code': '40143', 'country': 'US', 'state': 'KY', 'display_address': ['522 Old Hwy 60', 'Hardinsburg, KY 40143']}",2.5,3,KY
422,422,Hardee's,"{'latitude': 37.763759, 'longitude': -86.440358}","[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}]","{'address1': '1120 Old Hwy 60 E', 'address2': '', 'address3': '', 'city': 'Hardinsburg', 'zip_code': '40143', 'country': 'US', 'state': 'KY', 'display_address': ['1120 Old Hwy 60 E', 'Hardinsburg, KY 40143']}",3.0,2,KY
424,424,Dairy Queen Grill & Chill,"{'latitude': 37.7672099633855, 'longitude': -86.4423447847367}","[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}]","{'address1': '1006 Old US Hwy 60 \xa0E', 'address2': '', 'address3': '', 'city': 'Hardinsburg', 'zip_code': '40143', 'country': 'US', 'state': 'KY', 'display_address': ['1006 Old US Hwy 60 \xa0E', 'Hardinsburg, KY 40143']}",4.0,1,KY
476,476,Long John Silver's,"{'latitude': 36.8873596191406, 'longitude': -94.8765563964844}","[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]","{'address1': '1024 N Main St', 'address2': '', 'address3': '', 'city': 'Miami', 'zip_code': '74354', 'country': 'US', 'state': 'OK', 'display_address': ['1024 N Main St', 'Miami, OK 74354']}",2.5,5,OK
481,481,Arby's,"{'latitude': 36.8888104, 'longitude': -94.8776749}","[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'address1': '1217 N Main St', 'address2': '', 'address3': '', 'city': 'Miami', 'zip_code': '74354', 'country': 'US', 'state': 'OK', 'display_address': ['1217 N Main St', 'Miami, OK 74354']}",2.0,4,OK
511,511,Popeyes Louisiana Kitchen,"{'latitude': 32.7781519, 'longitude': -91.905931}","[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]","{'address1': '111 Hall St', 'address2': '', 'address3': '', 'city': 'Bastrop', 'zip_code': '71220', 'country': 'US', 'state': 'LA', 'display_address': ['111 Hall St', 'Bastrop, LA 71220']}",3.5,5,LA
516,516,Subway,"{'latitude': 32.7800121242128, 'longitude': -91.9041687255751}","[{'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'address1': '823 E Madison', 'address2': '', 'address3': '', 'city': 'Bastrop', 'zip_code': '71220', 'country': 'US', 'state': 'LA', 'display_address': ['823 E Madison', 'Bastrop, LA 71220']}",3.5,2,LA
518,518,Wendy's,"{'latitude': 32.778378227768, 'longitude': -91.8880766630173}","[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}]","{'address1': '2023 E. Madison Avenue', 'address2': '', 'address3': '', 'city': 'Bastrop', 'zip_code': '71220', 'country': 'US', 'state': 'LA', 'display_address': ['2023 E. Madison Avenue', 'Bastrop, LA 71220']}",2.0,2,LA
519,519,Sonic Drive-In,"{'latitude': 32.7800302, 'longitude': -91.8945401}","[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]","{'address1': '1631 E Madison', 'address2': '', 'address3': '', 'city': 'Bastrop', 'zip_code': '71220', 'country': 'US', 'state': 'LA', 'display_address': ['1631 E Madison', 'Bastrop, LA 71220']}",1.0,3,LA
520,520,Subway,"{'latitude': 32.8024693790268, 'longitude': -91.9020886555052}","[{'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'address1': '10400 Crossett Hwy', 'address2': '', 'address3': '', 'city': 'Bastrop', 'zip_code': '71220', 'country': 'US', 'state': 'LA', 'display_address': ['10400 Crossett Hwy', 'Bastrop, LA 71220']}",3.5,2,LA
521,521,Taco Bell,"{'latitude': 32.778147, 'longitude': -91.888797}","[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'tacos', 'title': 'Tacos'}]","{'address1': '1816 East Madison Street', 'address2': '', 'address3': '', 'city': 'Bastrop', 'zip_code': '71220', 'country': 'US', 'state': 'LA', 'display_address': ['1816 East Madison Street', 'Bastrop, LA 71220']}",1.0,1,LA
551,551,Dairy Queen Grill & Chill,"{'latitude': 40.7322694926464, 'longitude': -81.0969462990761}","[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}]","{'address1': '613 E Lincolnway', 'address2': '', 'address3': '', 'city': 'Minerva', 'zip_code': '44657', 'country': 'US', 'state': 'OH', 'display_address': ['613 E Lincolnway', 'Minerva, OH 44657']}",2.5,5,OH
556,556,Hardee's,"{'latitude': 40.73368, 'longitude': -81.09449}","[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}]","{'address1': '709 E Lincoln Way', 'address2': '', 'address3': '', 'city': 'Minerva', 'zip_code': '44657', 'country': 'US', 'state': 'OH', 'display_address': ['709 E Lincoln Way', 'Minerva, OH 44657']}",1.0,2,OH
557,557,Pizza Hut,"{'latitude': 40.7304067, 'longitude': -81.1005619168282}","[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]","{'address1': '311 Lincolnway E', 'address2': '', 'address3': '', 'city': 'Minerva', 'zip_code': '44657', 'country': 'US', 'state': 'OH', 'display_address': ['311 Lincolnway E', 'Minerva, OH 44657']}",3.0,2,OH
559,559,McDonald's,"{'latitude': 40.7318727057152, 'longitude': -81.097477376461}","[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'address1': '601 E Lincoln Way', 'address2': '', 'address3': None, 'city': 'Minerva', 'zip_code': '44657', 'country': 'US', 'state': 'OH', 'display_address': ['601 E Lincoln Way', 'Minerva, OH 44657']}",1.5,2,OH
601,601,Dairy Queen,"{'latitude': 46.898051, 'longitude': -98.712374}","[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]","{'address1': '330 Business Lp W', 'address2': None, 'address3': None, 'city': 'Jamestown', 'zip_code': '58401', 'country': 'US', 'state': 'ND', 'display_address': ['330 Business Lp W', 'Jamestown, ND 58401']}",4.0,2,ND
642,642,Dairy Queen,"{'latitude': 46.898051, 'longitude': -98.712374}","[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]","{'address1': '330 Business Lp W', 'address2': None, 'address3': None, 'city': 'Jamestown', 'zip_code': '58401', 'country': 'US', 'state': 'ND', 'display_address': ['330 Business Lp W', 'Jamestown, ND 58401']}",4.0,2,ND
662,662,Five Guys,"{'latitude': 48.20074, 'longitude': -101.31822}","[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]","{'address1': '3300 16th St SW', 'address2': '', 'address3': '', 'city': 'Minot', 'zip_code': '58701', 'country': 'US', 'state': 'ND', 'display_address': ['3300 16th St SW', 'Minot, ND 58701']}",4.5,20,ND
668,668,Whataburger,"{'latitude': 30.768385, 'longitude': -94.414169050915}","[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]","{'address1': '703 S Magnolia', 'address2': '', 'address3': '', 'city': 'Woodville', 'zip_code': '75979', 'country': 'US', 'state': 'TX', 'display_address': ['703 S Magnolia', 'Woodville, TX 75979']}",4.0,12,TX
672,672,Subway,"{'latitude': 30.7678988265553, 'longitude': -94.4154961}","[{'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'address1': '800 S Magnolia', 'address2': '', 'address3': '', 'city': 'Woodville', 'zip_code': '75979', 'country': 'US', 'state': 'TX', 'display_address': ['800 S Magnolia', 'Woodville, TX 75979']}",5.0,1,TX
673,673,Jack in the Box,"{'latitude': 30.7756093994657, 'longitude': -94.4147071934632}","[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'tacos', 'title': 'Tacos'}]","{'address1': '102 N Magnolia St', 'address2': None, 'address3': None, 'city': 'Woodville', 'zip_code': '75979', 'country': 'US', 'state': 'TX', 'display_address': ['102 N Magnolia St', 'Woodville, TX 75979']}",2.5,8,TX
674,674,Sonic Drive-In,"{'latitude': 30.7686035664607, 'longitude': -94.4154893644963}","[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]","{'address1': '708 S Magnolia', 'address2': '', 'address3': '', 'city': 'Woodville', 'zip_code': '75979', 'country': 'US', 'state': 'TX', 'display_address': ['708 S Magnolia', 'Woodville, TX 75979']}",3.0,3,TX
675,675,McDonald's,"{'latitude': 30.7644215808999, 'longitude': -94.416437}","[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'address1': '1100 S Magnolia', 'address2': '', 'address3': '', 'city': 'Woodville', 'zip_code': '75979', 'country': 'US', 'state': 'TX', 'display_address': ['1100 S Magnolia', 'Woodville, TX 75979']}",3.0,5,TX
677,677,Dairy Queen,"{'latitude': 30.765225, 'longitude': -94.415343}","[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]","{'address1': '1009 S Magnolia', 'address2': '', 'address3': '', 'city': 'Woodville', 'zip_code': '75979', 'country': 'US', 'state': 'TX', 'display_address': ['1009 S Magnolia', 'Woodville, TX 75979']}",2.0,7,TX
